PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|REMARKS|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LISTING_ALERT|NEIGHBORHOOD|MF_TYPE|NO_UNITS|NO_FLOORS|TOTAL_RMS|GARAGE_SPACES|PARKING_SPACES|LOT_SIZE|ACRE|SQUARE_FEET|COUNTY|STATE|YEAR_BUILT|ASSESSMENTS|TAXES|TAX_YEAR|TOTAL_BRS|TOTAL_FULL_BATHS|TOTAL_HALF_BATHS|BASEMENT_FEATURE|NO_BATHS|WATERFRONT_FLAG|WATERFRONT|WATERVIEW_FLAG|WATERVIEW_FEATURES|BASEMENT|ADULT_COMMUNITY|SQUARE_FEET_INCL_BASE|SQUARE_FEET_DISCLOSURES|ELECTRIC_FEATURE|ROAD_TYPE|SHORT_SALE_LENDER_APP_REQD
MF|72738130|K9500526|AN2432|ACT|649000|143-145|Main Street||421||01562|U|Incredible opportunity to own income generating retail and residential buildings in the central of Spencer!  A truly rare find of 8 total units across 3 buildings. The retail space on ground level provides unparalleled visibility at the junction of route 31 and route 9 with traffic counts of 15,000 vehicles per day(to be verified?) Walking distance to shops, CVS, Price Chopper, restaurants and the many other amenities.     The residential units are spread amongst two buildings which are set back and perched beautifully to capture the amazing views of the downtown with all it has to offer.  The second building consists of 5 residential units (three 1 bedroom units and two 2 bedroom units). The third building consists of 2 residential units (one 1 bedroom and one 2 bedroom unit). Town water and sewer, off-street parking, tenants pay all utilities.|7|10/6/2020 11:42:00 AM|0|N||E|8|2|0|0|8|0|0|5328|Worcester|MA|1900|365600|5162|2020|10|8|0||8f;0h|N||||Y||||||U
MF|72738511|NB114986|AN3108|ACT|1999999|29|Mill St||1|002|02122|N|Development opportunity -- adjacent & neighboring properties approved for 6-12 units!  Grand thirteen-room Queen Anne Victorian-era two-family residence set at the front of a 31,909 square foot lot, with an expansive and level rear yard. This home offers 5-6 bedrooms, 3.5 bathrooms, and 4,956 square feet of finished living area. Beautiful period detail includes high ceilings, quarter sawn oak floors, coved ceilings, ornate moldings and medallions, pocket doors, two fireplaces, stained glass windows, elegant staircase, and turret. The rooms are graciously proportioned throughout. Highlights include a large kitchen with a six-burner Thermador range and lovely center island, a four-piece bathroom on second level, a spacious third level, ample basement storage, and a storybook wrap-around porch. There are four parking spaces and a circular driveway. Large rear yard. This property is located in Clam Point, close to beaches, parks, shops, restaurants, and public transportation.|26|10/6/2020 8:29:00 PM|0|N||A|2|3|13|0|4|31909|0.73|4956|Suffolk|MA|1892|982300|10373|2020|5|3|1|Q|3f;1h|N||N||Y|N||||A,C,E,I|N
MF|72743169|M8001399|AN1666|ACT|189900|95|Ward St||857||01020|U|Two family home featuring 10 rooms, 3 bedrooms and 2 full bathrooms and 1 half bathroom. Located close to area amentias.|4|10/14/2020 10:20:00 PM|0|N||A|2|2|10|0|4|8460|0.19|1964|Hampden|MA|1900|200600|3502.48|2020|3|2|1||2f;1h|N||||Y||||||N
MF|72745040|TM313712|M95310|ACT|217900|596-598|Newbury Street||839||01104|N|Large 6 room 3 bedroom vinyl sided 2 Family with so many major updates including roof (2015), siding, front and side porches, gas furnaces (converted from oil in 2019) and windows.  Hardwood floors throughout with formal dining rooms with built-ins. ALL LEAD FREE WITH CERTIFICATES.  Large eat-in kitchens with pantries.  1st floor has new kitchen cabinets and counters.  Walk up attic.  3 Porches.  Fully rented with long time tenants currently month to month.  Perfect for the investor or owner occupied with help with your mortgage!  Cash cow with low expenses.  Tenants are not paying market rents so more cash flow is possible.  Located close to shopping, restaurants and major highways and so much more!  FULLY OCCUPIED.  SELLER WILL NOT evict tenants prior to the sale.|34|10/19/2020 9:08:00 AM|0|N||G|2|2|12|0|4|5022|0.12|2688|Hampden|MA|1916|155200|3031|2020|6|2|0|A|2f;0h|N||||Y||||D|A,C,E,I|N
MF|72745664|TM326677|M80028|CTG|399000|47|Richardson Rd||501||01054|N|Enjoy the peace and quiet of Nature with the Williams brook running thru the lower tip of the lot. This could be a great investment property or live in it as an owner-occupied 2 family.  Both units have separate electric services and oil furnaces.  Unit 1 (A) has its own laundry hook up in the basement with 1 garage bay there can be a shared basement space or Unit 1 (A) could have complete access.  Unit 2 (B) has a garage space and a smaller basement/laundry space in the Walkout Basement.  There is also a large space in the lower level to possibly create an in-law apartment, if the buyer wants to explore, it would require town approval.  The property has a great rental history. A home run!  Don't miss out!  .|22|10/20/2020 11:53:00 AM|0|N||F|2|1|8|2|6|80909|1.86|1999|Franklin|MA|1996|284800|5836|2020|4|2|0|A,F,G,H,M,R|2f;0h|Y|P|N||Y|||Sq ft Does not include basement|D|A,D,E|N
MF|72745823|E9500718|E32001|ACT|399900|66|4Th St||523||01376|N|Money Maker!  Attention Investors, here's a great chance for income with this Downtown 6-Family Turners Falls home.  Each apartment has its own Home-feel flair and coupled with some long-term tenants you'll be pleased at what this property can do for you.  There have been some recent upgrades such as new flooring and windows in some units.  Other units have wonderful hardwood floors, french doors, and more.  With separate utilities you let the tenants pay their own way, all but one unit is on Gas Heat!  There is some off-street parking and even better, the building is right next to a public parking lot which means less for you to maintain!  Make The Move and schedule your showing today.|30|10/20/2020 3:41:00 PM|0|N||P|6|3|14|0|3|4182|0.1|4081|Franklin|MA|1920|192000|3373|2020|9|6|0|A|6f;0h|N||||Y||||D||N
MF|72745879|FR001041|FR8001|ACT|399000|21|County Rd||151||02739|N|LIVE WHERE YOU WORK!! or RENT OUT the MODERN 2nd FLOOR APARTMENT for ADDITIONAL INCOME!!   NEW PRICE - PRICED BELOW ASSESSED VALUE!  Mixed use free standing building located on Route 6 with General Business zoning!  This beautifully renovated Craftsman style building with 8 parking spaces has commercial space on the first floor and a residential 1BR apartment on the second floor.  See floor plans attached.  Handicapped access to first floor with outside ramp.  Several options are available for a new buyer...use first floor and get income from second floor.  Use entire building for office space or live upstairs from your own business!  Some neighboring businesses are insurance company, town water/sewer department, HVAC company, florist, accountant, real estate office and restaurants.|24|5/25/2021 3:23:00 PM|0|N||A|2|2|5|0|8|39039|0.9|1237|Plymouth|MA|1920|417100|5627|2020|1|1|1|A,G,I,J,M,Q|1f;1h|N||N||Y||||D|A|N
MF|72747058|BB807975|AN3796|ACT|559000|21-23|Gould St||156|NNO|02740|N|Two Family home in a desirable neighborhood which features 7 large bedrooms two double parlor dining room  and a full bath in each unit. All windows have been replaced in 2010 and throughout  hardwood floors which have been recently refurbished.  Property has new roof and new furnaces.  A generous private office in the second floor overlooking the street.  Unlimited possibilities with oversize attic and basement for larger family.  The property is well insulated and freshly painted.    The property is in moving condition and it won't last.  The property boasts two car-garage. Great investment opportunity|36|10/22/2020 12:21:00 PM|0|N||A|2|2|13|2|4|4626|0.11|3616|Bristol|MA|1923|363100|5868|2020|7|2|0|A,Q|2f;0h|N||N||Y||||B|A,C|N
MF|72747354|TM330790|G95022|ACT|769900|44|Shaffer St||372||01854|N|Wonderful opportunity for CONTRACTORS, LANDLORDS and INVESTORS! This INCOME PROPERTY wont last, well maintained 4-family units in the up-coming city of Lowell. This is a turned-key investment with long term tenants with lease. Rents are below market rate. Offering 8 parking spots. So much potential, Spacious unfinished basement of 2,018 square feet and unfinished attic of 2,499 square feet. The attic can be finished and converted into additional rooms.|8|10/22/2020 5:03:00 PM|0|N||L|4|3|21|0|8|6774|0.16|5142|Middlesex|MA|1920|554700|7411|2020|13|4|0|A|4f;0h|N||N||Y||||A,B|A,C,E,I|N
MF|72750382|TM327477|AN2383|ACT|1800000|556|E Broadway||1|05D|02127|N|Historic Brownstone on the "Top of the Hill" on East Broadway with tremendous natural light and magnificent views. 556 E. Broadway is just blocks from the beautiful beaches of Pleasure Bay and steps from the shops and restaurants along Broadway. The brownstone has 3 residential units and 1 unit with rear access that can be used as commercial space. Unit 1 is a 634 square foot studio with an eat-in kitchen, unit 2 is a 1004 square foot 2 bedroom/1 full bath, and unit 3 is a duplex 3 bedroom/1 full bath with 117 square feet of outdoor space.|13|12/2/2020 7:18:00 AM|0|N||B|3|4|16|0|2|960|0.02|3942|Suffolk|MA|1899|1515000|21657|2020|6|3|0|G|3f;0h|N||||Y|||||A|N
MF|72751331|CN217247|H95120|ACT|1950000|205-207|Boylston St||1||02130|N|This is the perfect opportunity to purchase this ENORMOUS and RARE mixed use building in the heart of Jamaica Plain. The property consists of one commercial space and three residential units. This beautiful Mix Use residential is conveniently close to all the amenities of life. It has been lovingly maintained and cared for. It comes with a recently UPDATED kitchen and bathroom, vinyl flooring, UPDATED electrical, UPDATED plumbing, high basement ceiling and MORE.  The 4th floor is part of the 3rd unit apartment. This is a perfect opportunity for an owner occupant business or for a developer to convert the units into condos.|32|11/1/2020 8:30:00 AM|0|N||B|3|4|17|0|0|1616|0.04|6111|Suffolk|MA|1910|836300|13633.5|2020|10|5|2|A,M|5f;2h|N||||Y|||Public Record Information from City of Boston Tax Assessors|||N
MF|72751422|CN231365|AN4865|ACT|2049999|1126|Cambridge St.||13|INM|02139|N|Very rare opportunity to own a mixed-use property right in the heart of Inman Sq. Just 1.1 miles west of Lechmere and .7 miles north of Central Sq., this 3-unit offering is conveniently situated amidst the bustling shops/eateries that comprise Cambridge St. Take advantage of the heavy foot traffic and a swift commute into the city! The first-floor space is owned and independently operated by Momi Nonmi, a successful and efficiently functioning takeout destination specializing in Japanese-Hawaiian cuisine. Consistently grossing 4k+ (not incl. NNN) the restaurant offers a full-service kitchen along with substantial storage/prepping space in the lower-level. Upstairs, are two 2 bed units ideal for a quick and inexpensive reconfiguration. The third-floor is rented out at $2,000 per month, while the second-floor unit can be delivered vacant. There are only so many mixed-used multis that hit the market in Cambridge. Get in while you can with a property grossing 9K / month at full occupancy.|27|11/2/2020 11:26:00 AM|0|N||B|3|4|12|0|0|1154|0.03|3126|Middlesex|MA|1862|878600|8259|2020|4|2|1|A,D|2f;1h|N||||Y||||||N
MF|72753184|CN232792|AN4663|ACT|1150000|1089|Blue Hill Ave||1||02124|N|3-unit property in a neighborhood with very easy-to-access to public transportation within steps of the front door. Each unit/floor contact 3-4 bedrooms, eat-in kitchen, office/den space. Investors? Owner-occupant? This is your chance to own a property within 15 minutes drive to UMass Boston, Northeastern U, College of the Fenway, Museum of Fine Arts, many area hospitals, and transit stations. Don't miss this golden, rare opportunity to own a fantastic property in a beautiful location in Boston MA. Call/text listing agent to see your next opportunity TODAY|3|4/16/2021 7:46:00 PM|0|N||B|3|3|18|2|2|5000|0.11|4988|Suffolk|MA|1903|650100|6865|2020|12|3|3|A,G,M,Q,R|3f;3h|N||||Y||||||N
MF|72753652|G8002001|K95580|ACT|174900|11|Chesterfield Road||1102||03451|N|Three Unit 2-2-1 Bedrooms. Perfect for owner occupied, first Investment or add to your portfolio! Fully TAW rented $1,200, $1,100 & $1050.00! Recent light renovations varied per unit. First floor  unit is a 2 bedroom with large open concept tiled living and dining area! Cabinets painted and backsplash is new. Living room, bathroom and bedrooms painted. Newer  lighting fixtures added. Second floor Unit 2 is a 1 bedroom & has large living room with new carpet. Kitchen has new backsplash and new flooring. Bathroom painted &  new flooring. 2nd floor 3rd unit is a 2 bedroom has large an open tile flooring living room and new backsplash. Each unit has a stove and refrigerator. Off street parking  & 2 under carports. Separate utility room. Low outside maintenance. Go to the lovely Ashuelot River Park that is a few seconds from the house and enjoy the beauty of nature all in a quaint Town with  shopping, restaurants and close to major highways!|28|11/5/2020 3:04:00 PM|0|N||J|3|2|11|0|5|2204|0.05|2516|Cheshire|NH|1849|0|4163.35|2019|5|3|0||3f;0h|N||||N||||D|A,E|N
MF|72754972|M0000576|AC0646|CTG|179900|17-19|George St||850||01089|N|Vinyl sided 2 family home in convenient West Springfield location...First floor has oil heat, kitchen with eat-in area, small deck to back yard....   Second floor has BBE heat, kitchen with large pantry..    Shared enclosed front porch/entry way.|12|11/9/2020 3:47:00 PM|0|N||A|2|2|8|0|1|5517|0.13|1906|Hampden|MA|1900|151600|2576|2020|4|2|0|R|2f;0h|N||||Y||||||N
MF|72755563|CN236513|E31301|CTG|215000|97-99|Maple St||511||01301|N|Ideal Greenfield location for this lead-compliant two-family home offering two spacious 3-bedroom units.  Excellent floor plans with plenty of storage and room to spread out.  Both units have hardwood flooring in living and dining rooms, some kitchen and bath updates, replacement windows, and laundry hookups.  Upstairs unit has two charming bedrooms in the finished attic with skylights in each, plus a cozy office nook/meditation space tucked under a dormer.  Separate natural gas utilities/meters and separate electric meters, newer two-car garage, and a large level yard make this a solid investment opportunity.  Located in a lovely tree-lined neighborhood close to downtown cafes and restaurants, shops, cultural venues, library, Saturday farmer's market, YMCA, hospital/medical facilities ... AND minutes to Beacon Field, Poet's Seat, and Temple Woods/Highland Park trails.   You as an owner-occupant and/or tenants will enjoy the best of Greenfield living in this lovely corner of town.|18|11/11/2020 4:28:00 PM|0|N||G|2|3|12|2|6|12781|0.29|2208|Franklin|MA|1900|175900|4033|2020|6|2|0|A,G,M,Q|2f;0h|N||N||Y|N||Upper unit is on 2nd and 3rd floors.  Basement is accessed through lower unit.|H,J|A,C,E,I|N
MF|72756567|CN230902|AN5817|ACT|340000|15|Beetle||156||02746|U|Huge cash flow potential. 6 Family home in the Historic city of New Bedford. All 1 bedroom units. All 6 units are currently rented at market rates. The yard is completely fenced in and the street has plenty of parking available. Schedule your appointment to view this property today.|33|11/18/2020 7:00:00 PM|0|N||E|6|3|18|0|0|4021|0.09|5076|Bristol|MA|1897|167000|2698|2020|6|6|0|A|6f;0h|N||||Y|||||A,C|N
MF|72756649|TM330990|AN6192|ACT|1275000|81|Park & 324 Howard||187||02370|U|Howard on Park, an Approved 38 Unit Multi-Family Re-Development site located in Bostons dynamic South Shore Market in the desirable, community of Rockland, MA. The Howard on Park is a coveted in-fill site surrounded by strong economic drivers, in a market with pent up residential demand, high barriers to entry and a severely restricted pipeline. With a Comprehensive Permit M.G.L. Ch. 40(b) in hand, The Howard on Park will be comprised of 28 Market Rate Units and 10 Affordable Units Per Section 42. The plans feature a mix of 10 1-Beds, 24 2-Beds, and 4 3-Bedroom units,ranging from 650 -1,284 SF, & 84+ parking spaces. The site is comprised of 2 contiguous lots, 81 Park Street & 324 Howard Street, for a combined 39,600 SF corner parcel, improved w/a former warehouse & manufacturing facility. The site has been entitled through a two (2) year local zoning process. High density area, highway/public transit. Address is 81 Park & 324 Howard.|3|11/12/2020 2:03:00 PM|0|N||E|38|0|0|0|84|0|0|0|Plymouth|MA|0|288300|5045.25|2020|0|0|0||0f;0h|N||||N||||||U
MF|72757390|BB800248|NB5197|ACT|649723|378|SUMMER ST||312||01905|N|Spacious and well-Designed Two-Family home within the 01905 neighborhood, just steps to Market Basket, The Purple line T, Lynn Common  and numerous restaurant and shopping venues. This sun-filled home offers well-proportioned rooms, high ceilings, eat-in kitchens, hardwood flooring, natural woodwork trim, bay windows, plus ample out-door space. The first-floor unit currently has 2 levels 1.5 bath and 3 bedrooms  unit 2 . The upper unit consists of the 2nd & 3rd floors, and offers four full bedrooms, plus a back wood deck . Opportunity with a 12 Car Driveway  Wonderful opportunity for a home with income, investment property, condominium project, or conversion to Single-Family residence.|22|12/3/2020 3:34:00 AM|0|N||A|2|3|14|0|12|5894|0.14|3019|Essex|MA|1900|402500|5393|2020|8|3|1|A,E,F,G|3f;1h|N||||Y||||A,J|A,C,E,I|N
MF|72757425|K9500578|AN6208|ACT|209900|38|South Main ST.||465||01440|N|Welcome Home to this fine Two Family on the South Main ST. with just Minutes to the Route 2 Ramp Ideal Owner occupied with Income to Help with the Mortgage Monthly Payment..  The first floor offers Large living room with Fireplace Open to a Lovely dining room , along with a Large Bedroom and Kitchen , has an Walk Out Basement for extra Storage Space.  The Second Floor has Great Tenants and Great Income , please call for more Details .|16|11/14/2020 1:43:00 PM|0|N||G|2|2|8|0|4|3485|0.08|1967|Worcester|MA|1900|180782|2956|2020|3|2|0|A,F|2f;0h|N||N||Y||||B,F,J|A,E,I|N
MF|72757769|CN225347|BB3204|ACT|1299000|282-284|McGrath Highway||17||02143|Y|DEVELOPMENT OPPORTUNITY! Formally a nightclub/bar.  Commercial/Residential building -- Owner has been told you can build 6 units (by right) and 8 units (with a special permit). 4 Parking Spaces.   Buyer to perform their own due diligence re: property opportunities/zoning laws.  Call today to inquire.  *SEE COMMERCIAL LISTING MLS #72709297- SAME PROPERTY - BEING SOLD AS ONE.  Listed as commercial and residential as zoned for both.|15|11/16/2020 12:02:00 PM|0|N||E|1|0|0|1|0|5662.8|0.13|2385|Middlesex|MA|1910|977400|18743.9|2019|1|1|0||1f;0h|N||||Y||||||N
MF|72757795|BB981044|A14005|PCG|525000|1208|Montello Street||185||02301|N|Transit Oriented Development Opportunity, adjacent to the Campello Commuter Rail to Boston. Ideally situated at the corner of Montello Street (Route 28) & Riverside Avenue, your future tenants will enjoy access to the renovated city park plus an array of restaurants, shopping, medical amenities, and highway access (making it desirable from Boston to points South). Consisting of twelve 1-bedroom units & twelve 2-bedroom units, the architectural plans are complete. 1208-1210 Montello represents one of the few remaining opportunities to capture a possible 9-10 cap rate! This ones a gem--Dont miss it!|6|6/2/2021 3:11:00 PM|0|N||E|24|4|86|0|24|14928|0.34|22500|Plymouth|MA|2021|143700|2177|2020|36|24|0||24f;0h|N||||N|||does not include common areas.|||N
MF|72758772|BB980465|NB5378|ACT|2500000|9|Shelby st||1||02128|N|Location,Location,Location: East Boston six units,two buildings on 4474 sq ft. Located steps away from the new East Boston Police station!!!!Zoned for 9+units with curb cuts on Shelby st.Corner lot.Two family on Princeton street and a four family on Shelby street!!!.|4|11/18/2020 2:22:00 PM|0|N||E|6|2|26|0|2|4474|0.1|6660|Suffolk|MA|1899|1164400|12300|2020|13|6|0||6f;0h|N||N||N|N|||B,D|A,C,E,I|N
MF|72758829|TM326677|M80028|ACT|355000|12-14|Grant Avenue||530||01060|N|This side by side two family is within walking distance to Northampton Town Center! It has a great rental history with updated capital improvements such as a newer roof  (2008), replacement windows, and vinyl siding (2008). And a gas furnace was installed in approximately 2014. Enjoy all of what Northampton has to offer with this great investment property or call it home! Stay active with area hiking and a DCR Rail Trail, Three County Fairgrounds and Northampton Airport steps from your front door. Easy access to I-91. Close to all area colleges, restaurants, and shopping. Boston is 1 hour 45 minutes east on I-90 or grab a train at the newly expanded Union Train Station and visit NYC in 3 hours.|3|11/18/2020 3:27:00 PM|0|N||F|2|2|10|0|4|4700|0.11|2077|Hampshire|MA|1900|249800|4197|2020|6|2|0|A,G,M|2f;0h|N||N||Y|N|||D,M|A,C,E,H|N
MF|72759020|BB807281|BB5153|ACT|919000|536|Lebanon St||306||02176|N|Fantastic Mix-Use opportunity for a small firm to re-locate to Melrose MA. Consistently voted one of the top towns in MA. Located directly across from Melrose/Wakefield Hospital and an easy walk to downtown and Commuter Rail. First floor office suite is perfect for Doctor/Dentist/Accountant/Lawyer/Real Estate firm. Handicap accessible first floor features includes 3 private office spaces, kitchenette, 1/2 bath and reception area, also a finished basement area that could be additional space. Was used as a medical office space in the past but could be perfect for any number of professions. Short walk to Commuter Rail to North Station. Ample parking in rear of building. Second floor 2Bed/1Bath residential unit provides additional income to help reduce expenses. Currently rent to long term tenants at $2100/month. Expansion opportunity into third floor attic space for a duplex unit. Possible condo conversion opportunity with basement and attic being partially finished. Two duplex unit|41|11/18/2020 8:22:00 PM|0|N||G|2|4|10|0|20|5009|0.11|1572|Middlesex|MA|1855|532200|5880.81|2020|2|1|1|A,E,F,G,J,M|1f;1h|N||N||Y|N|||B|A|N
MF|72759027|CT006368|K01557|ACT|299000|7|Barnes St||432||01570|N|REDUCED PRICE!!!!!!!***INVESTORS**** clean and turn key 3 family. Electrical has been updated, all units are separate with a separate owner panel. All cast-iron plumbing has been replaced in the basement with PVC. Roof if less than 8 years old. Tenants pay their own utilities except water sewer. There is off street parking and minimal land to landscape and take care of. All tenants have off street parking and property is near down town. Tenants also have their own washer/dryer hookups in basement. Price has been reduced and there are minor fixes that need to be done that the owners are aware of. Call for more detail prior to viewing.|2|11/18/2020 8:30:00 PM|0|N||B|3|3|14|0|5|3306|0.08|3176|Worcester|MA|1860|188500|2838.81|2020|8|3|0||3f;0h|N||||Y||||||N
MF|72759786|C9501257|AN4850|ACT|1200000|234|North End Blvd||345||01952|N|Direct Oceanfront on Salisbury Beach! Two houses on one amazing lot. Sand at your doorstep in the Oceanfront House, a 3 bedroom classic exuding charm. Spacious, open living on the main level, leading out to your beachfront deck. 3 bedrooms upstairs, with expansive views from the oceanfront balcony. Oceanside House features vaulted, wood-beamed ceilings & open concept spaces giving an airy, modern feel. Beautiful spaces for casual living or entertaining, sunrise and sunset decks, and incredible views from the 'eagles nest' bedroom. Additional room in lower level is great for a home office space or convenient storage. Versatile opportunity to own a family-style compound or use as income producing units. Front to back lot, 4 car parking, and deeded right of way to the beach. Owned and enjoyed by the same family for over 70 years, this property has been well maintained and absolutely loved. Create your own sun splashed memories or enjoy the income potential at this oceanfront oasis.|42|11/20/2020 1:37:00 PM|0|N||A|2|4|13|0|4|3125|0.07|2937|Essex|MA|1930|738800|8467|2020|5|3|2|A,E,F,R|3f;2h|Y|A,R,V|Y|I,J|Y|||additional ~740 SF at street level, partially finished, partial storage. SF is measured, approximate||A|U
MF|72759963|BB302684|BB2272|ACT|2350000|100|Trapelo Road||40||02452|N|Trophy quality young five-unit multi-family located on the Belmont/Waltham line. Brick/frame construction offers a mix of townhouse floorplan's on two-levels with 1.5 baths, eat-in kitchens,central air, and more. In addition to the townhouse units, there are two Garden style apartments with one and two bedroom floorplans with five units in total. Built in 1988, there is ample off-street parking, in building laundry, all separate utilities, huge floor plans, and a superb location. With updating, this property is easily a great long term investment or even a high end conversion to condo.|24|11/20/2020 7:08:00 PM|0|N||E|5|3|27|0|15|9060|0.21|6746|Middlesex|MA|1988|1218500|14561|2020|15|5|3|B|5f;3h|N||||Y||||A|A|N
MF|72760023|NB115046|K95633|ACT|359000|12-14|Saint Anthony St||401||01607|N|CONVERT BACK TO A MULTI FAMILY OPORTUNITY FOR A 3 FAMILY Welcome home to this European- Italian Style Penthouse on a large 125 X125 lot with room for expansion in a private country setting located in the Broad Meadow Brook Neighborhood. This Single family has  New Modern Cedar Wood Siding on a large double lot. Kitchen has been modernized with S/S appliances with a deck off the  kitchen with sliders and  the Bathroom has been completely renovated with ceramic tile and  just lovely, Living room has a large-oversized deck for family entertaining. 4 bedrooms 2 baths and hardwood floors throughout. Multi Buildings- 2 properties on 1 deed- Was a 2 family- converted to a single family with a Bonus 22 X 20 - In-law Carriage House that has Elec.& Gas and needs to be finished,.Utilities in main house kept seperate in basement for conversion back to 2 family. 2 driveways. Minutes from Rte 146, Masspike, Rte 20, Centrally located -but off to a private street. Full Basement with City H20.|24|3/16/2021 5:27:00 PM|0|N||J|3|2|9|0|6|12632|0.29|2173|Worcester|MA|1906|392300|3269|2020|5|2|0|A,F|2f;0h|N||N||Y|N||2 properties on 1 deed. multi level single-  BONUS_cottage in back unfinished. was a 2 family||B,E|N
MF|72760067|CN240244|E21601|ACT|269900|17-19|Arlington St||539||01027|N|Wonderful investment opportunity right across the street from the thriving Easthampton Mill District! This side-by-side duplex has one side vacant and ready to move right in or rent out! The vacant unit is recently renovated with big bright and spacious rooms throughout. Unit #19 has a 4th bedroom on the second floor. Two brand new furnaces installed 2019, newer water heaters, vinyl siding and a hassle-free slate roof! The property has been de-leaded, and has necessary certifications. This one certainly won't last long so call today to schedule your showing!|24|11/21/2020 12:20:00 PM|0|N||F|2|2|14|0|4|3465|0.08|2576|Hampshire|MA|1919|148200|2632|2020|7|2|0|A|2f;0h|N||||Y||||||N
MF|72760203|E0000CAF|M95388|CTG|1300000|28 & 34|Colorado Avenue||511||01301|N|This unique, extraordinary property encompasses 22.8 intriguing acres with 1600' of frontage along the Deerfield River. 10 acres of rich riverbed soil and tillable farmland. Above this picturesque setting, this incredible property also includes a 4 bedroom, 2 bath single-family home with natural woodwork and wood floors; A Two-family home with a 2 bedroom recently remodeled 1st-floor unit, 1 bedroom 2nd-floor unit. There is also a large shop that offers many opportunities. Formerly a fully functional vehicle repair shop with two large heated workspaces, office, half bath, garage, and storage room in the front 26'x48' section. The 36'x30' back section was added in the early '70s. Both spaces are insulated with waste oil heaters. They both have lifts, large overhead doors, and more. (See the attached history doc for more details). Located at the end of the peaceful road, hidden away in its own little world in the town of Greenfield, the heart of Franklin County in beautiful Western Mass.|42|11/22/2020 12:55:00 PM|0|N||B|3|2|14|2|10|993181|22.8|3375|Franklin|MA|0|442000|10135.06|2020|7|4|0|A,G,I,L,M|4f;0h|Y|D,I,L,W|||Y|||#28-1575 sq ft, #34 - 1790 sq ft|D|A,C,E,H|N
MF|72762379|BB809490|AC1811|ACT|344900|6|north main street||471|26V|01366|N|This is a mixed use property on Main Street in Petersham consisting of 2 residential apartments and 3 offices to the left of the Petersham Country Store.  It is a positive cash flow opportunity.  The building has a new roof and many updates to the property. The historic Benjamin F. Hamilton House is one of more than a dozen classic Greek revival structures in the Historic District on the Petersham Town Common. This unique property combines both residential and office rentals on four levels. Located next door to the newly renovated and re-opened Country Store, this elegant building has been well-maintained and modernized.    The Hamilton House contains two residential apartments and three commercial office spaces. An ample parking lot at the rear lower level serves all tenants. This property offers a unique, cash-positive opportunity for the discerning investor. This is a wonderful property right in the middle of Downtown Petersham.|19|12/1/2020 12:17:00 PM|0|N||P|5|3|11|0|6|8712|0.2|3500|Worcester|MA|1860|237700|3787|2013|3|3|2||3f;2h|N||||Y||||||N
MF|72764202|CN207327|AN4267|CTG|1450000|43|Ackers Ave||12||02445|N|Contractor's Delight!!  Prime location in one of Brookline's finest neighborhoods.   Throw a stone to Fisher Hill Estates.  Close to the popular Heath Elementary School.  Currently a 2 Family gutted to the studs with high ceilings.  CASH or REHAB Loan Buyers ONLY. Architecture plan on hand.  Accompanied showings.  Buyers to due their own due diligence.|16|12/4/2020 6:58:00 PM|0|N||A|2|3|13|0|2|2479|0.06|2604|Norfolk|MA|1929|1131300|10691|2020|7|2|0|A|2f;0h|N||||Y||||D|A|N
MF|72764385|CN226236|C95236|ACT|2500000|7 & 9|Mechanic Place||326|42U|01930|N|A unique, private Gloucester paradise! Two oceanfront Homes, #7&9, each with sole access to a granite-lined, private beach. These separately deeded year-round houses  one single-family and one 2-family are being sold together.  View amazing open ocean, sunset scenes out to Ipswich Bay and the NH coast from your waterfront deck. Gather with family and friends to relax on the white sand beach, swim, kayak, and enjoy many other water sport activities. Share many healthy and sunny days together on your own private beach. #7 is a two-family Home with a detached one-car garage. 1st Floor: 5 Rms - 2 Bedrooms/1 Bath. 2nd Floor: 3 Rms - 1 Bedroom/1 Bath.These Homes have been in the same family for generations and are set back from the road with easy driveway access. Total parking for both 7&9 Mechanic Place is 5+. Sold with #9 Mechanic Place, please refer to MLS co-Listing #72764384. #9 is a single-family Home  7 Rooms; 3 Bedrooms/1 Bath.|36|5/22/2021 8:59:00 PM|0|N||G|2|2|9|1|4|13905|0.32|2738|Essex|MA|1920|1789400|22063|2020|3|2|0|B,I,L,M,Q,R|2f;0h|Y|A,I,L,R,W|Y|A,J,L,Q|Y|N|||D,F|A,C,E,H|N
